item_id,order_id,product_id,quantity,item_price
1,101,P001,1,15000.0
2,101,P003,1,500.0
3,102,P008,1,300.0
4,103,P004,1,1200.0
5,104,P006,1,150.0
6,105,P005,1,800.0
7,106,P008,1,300.0
8,107,P003,1,500.0
9,108,P006,1,150.0
10,109,P001,1,15000.0
11,109,P002,1,7000.0
12,110,P008,1,300.0
13,111,P004,1,1200.0
14,111,P010,1,100.0
15,112,P011,1,2500.0
16,113,P005,1,800.0
17,114,P008,1,300.0
18,115,P004,1,1100.0
19,116,P015,1,600.0
20,117,P002,1,7000.0
21,118,P009,1,4500.0
22,119,P008,1,300.0
23,120,P013,1,2200.0
24,121,P011,1,2500.0
25,122,P001,1,15000.0
26,123,P010,1,200.0
27,124,P012,1,3500.0
28,125,P014,1,3000.0
29,126,P009,1,4500.0
30,127,P013,1,2200.0
31,128,P015,1,600.0
32,129,P014,1,3000.0
33,130,P005,1,800.0
